iter	Passed	Remaining
198	160	3876
199	161	3871
200	161	3867
201	162	3865
202	164	3880
203	164	3875
204	165	3871
205	166	3867
206	166	3865
207	167	3862
208	168	3857
209	168	3853
210	169	3848
211	170	3843
212	170	3839
213	171	3834
214	172	3830
215	172	3826
216	173	3821
217	173	3816
218	174	3812
219	175	3808
220	175	3804
221	176	3800
222	177	3796
223	177	3792
224	178	3788
225	179	3783
226	179	3779
227	180	3778
228	181	3774
229	181	3772
230	182	3768
231	183	3764
232	183	3760
233	184	3757
234	185	3753
235	185	3749
236	186	3745
237	187	3742
238	187	3738
239	188	3735
240	188	3731
241	189	3727
242	190	3724
243	190	3720
244	191	3717
245	192	3713
246	192	3712
247	193	3709
248	194	3705
249	194	3702
250	195	3699
251	196	3695
252	196	3692
253	197	3688
254	198	3687
255	198	3683
256	199	3680
257	200	3677
258	200	3674
259	201	3671
260	201	3667
261	202	3664
262	203	3661
263	203	3657
264	204	3654
265	205	3660
266	206	3663
267	207	3661
268	207	3658
269	208	3655
270	209	3652
271	209	3648
272	210	3647
273	211	3643
274	211	3641
275	212	3637
276	213	3646
277	214	3643
278	215	3640
279	215	3637
280	216	3636
281	217	3633
282	217	3631
283	218	3628
284	219	3625
285	219	3622
286	220	3618
287	221	3616
288	221	3612
289	222	3610
290	222	3606
291	223	3603
292	224	3600
293	224	3597
294	225	3593
295	225	3590
296	226	3587
297	227	3583
298	227	3580
299	228	3577
300	228	3574
301	229	3572
302	230	3570
303	230	3567
304	231	3564
305	232	3561
306	232	3558
307	233	3555
308	234	3554
309	234	3551
310	235	3548
311	235	3545
312	236	3542
313	237	3539
314	237	3536
315	238	3533
316	238	3530
317	239	3528
318	240	3525
319	240	3522
320	241	3519
321	242	3516
322	242	3513
323	243	3511
324	243	3507
325	244	3505
326	245	3502
327	245	3501
328	246	3499
329	247	3497
330	247	3494
331	248	3492
332	249	3490
333	249	3489
334	250	3486
335	251	3485
336	251	3486
337	252	3484
338	253	3481
339	253	3479
340	254	3476
341	255	3474
342	255	3472
343	256	3469
344	257	3467
345	257	3464
346	258	3461
347	259	3464
348	259	3462
349	263	3496
350	264	3507
351	266	3519
352	267	3523
353	270	3546
354	274	3596
355	284	3711
356	286	3720
357	286	3718
358	287	3715
359	288	3712
360	288	3711
361	289	3707
362	291	3721
363	292	3721
364	292	3719
365	294	3730
366	295	3725
367	295	3722
368	296	3719
369	297	3718
370	298	3718
371	299	3721
372	299	3718
373	300	3718
374	301	3724
375	302	3720
376	303	3715
377	303	3710
378	303	3706
379	304	3701
380	305	3697
381	305	3692
382	305	3686
383	306	3681
384	306	3675
385	307	3677
386	309	3684
387	310	3685
388	310	3681
389	311	3676
390	311	3672
391	312	3667
392	312	3663
393	313	3660
394	313	3656
395	314	3652
396	314	3648
397	315	3644
398	315	3642
399	316	3637
400	316	3632
401	317	3630
402	317	3626
403	318	3621
404	318	3617
405	319	3612
406	319	3606
407	320	3601
408	320	3597
409	320	3593
410	321	3593
411	323	3599
412	323	3594
413	324	3589
414	324	3584
415	324	3579
416	325	3574
417	325	3569
418	326	3565
419	326	3560
420	326	3555
421	327	3550
422	327	3545
423	328	3541
424	328	3536
425	328	3531
426	329	3526
427	329	3521
428	330	3517
429	330	3513
430	330	3508
431	331	3504
432	331	3500
433	332	3495
434	332	3491
435	333	3486
436	333	3482
437	333	3478
438	334	3473
439	334	3469
440	335	3465
441	335	3461
442	336	3456
443	336	3452
444	336	3448
445	337	3443
446	337	3439
447	338	3435
448	338	3431
449	338	3426
450	339	3422
451	339	3417
452	340	3413
453	340	3409
454	340	3405
